video0|a car is shown
video1|in a kitchen a woman adds different ingredients into the pot and stirs it
video2|a guying showing a tool
video3|a big door is being opened in a video game
video4|a girl wearing a black shirt
video5|a can is playing with a babies toy
video6|a cat and a monkey are playing
video7|a man commenting on a cat eating dog food
video8|a bald guy talks and swivels in a chair
video9|a man discusses african issues on a news programme
video10|a man holds two dogs
video11|a few pictures of the beatles
video12|a man is angrily talking to another man
video13|a crazy man interacts with abraham lincoln
video14|a advertisement for a horror movie
video15|lines are created on top of another on the computer screen
video16|computer screen with a instructor showing how to use software
video17|a large building with people walking around
video18|a comedian actor talking in a cloths shop
video19|two men during a tenis match the commentator is speaking french
video20|a child being presented a bowl
video21|there is a man is talking about a product
video22|a chinese girl talking with a man and trying to show something with chop sticks in hand
video23|a boy and a girl in a nestea advertisement
video24|a man is driving a car
video25|a gamer describes how to unlock a feature
video26|a city skyline on a bright day
video27|a band performing on a tv show set in front of an audience
video28|a couple of girls sit against the wall
video29|a highlight reel shows several sports clips
video30|a few wealthy men sit at a table and listen to speakers
video31|a female athlete narrates the good feeling she and her teammates had
video32|a futuristic woman gets ready to emerge
video33|a female providing a show and tell of recent clothing purchases
video34|a cartoon character picks another up off the ground
video35|a man is playing a guitar in a car
video36|a girl describing about her high heel
video37|a girl demonstrating about dryer
video38|elephants are lying down on grassland and relaxing
video39|a french man discusses art
video40| young men are laying in the grass and talking
video41|there is a person comparing iphone and galaxy alpha mobiles
video42|a guy talking about a car
video43|a clip of a man pretending to be justin timberlake and singing one of his songs
video44|a fat woman wears a pink sporty bra
video45|all persons are ready for running on a running track lane
video46|a boy is drawing squidward from spongebob squarepants
video47|a band is in a studio recording a song
video48|a group of men speak to the camera
video49|a man scores a goal in soccer
video50|a girl and boy flirt then eat food
video51|a black man anxiously slowly spins around
video52|a digital sims like game
video53|a female child performing a song in front of judges for a reality talent show
video54|a cartoon show for childrens
video55|there is a young girl is laying down in the bed
video56|a cover of the song this little light of mine plays over landscape images
video57|a couple of girls and boys singing and dancing on a stage
video58|a group of people in a field searching for something
video59|a women with black top is applying make up
video60|a guy talking about a football player believing in himself
video61|a guy explaining how certain contaminants can effect the stopping power of a brake pad
video62|a woman talking about how to take off your makeup
video63|a coach is speaking with his team
video64|a clip about metal assembly
video65|a girl is performing a song on the voice
video66|a child is singing on the voice
video67|a clip taken from an asian soap opera
video68|one cup of oil is heating in a pan and then one inch cubes of chicken are fried in it
video69|a clip of a man with medical conditions
video70|a drama is performed on stage
video71|a cartoon man talks to a picture of a rabbit on a tablet
video72|a band is playing music on stage
video73|a man and woman talk while they warm their hands by the fire
video74|an animated character with energy for hands shoots other animated characters
video75|there is a check shirt woman talking with a lady
video76|a rose made out of a melon contains pink petals and green leaves
video77|a cartoon features minnie mouse
video78|a clip the television show ugly betty
video79|a man discusses the three dimensional patient image of feet
video80|a video explaining how to make glow sticks and the science behind
video81|the man in the grey colour dress wearing cap talking about one incident
video82|boys are practising basketball in indoor court
video83|a boy playing with a small toy
video84|a clip from the movie pirates of the caribbean
video85|a girl getting her hair done
video86|a car being reviewed
video87|a boy cartoon is doing experiment in chemistry lab and experiment goes wrong and blasted
video88|a person adds chemical ingredients into a bottle of juice
video89|a cooking tutorial
video90|a little dog runs across the floor
video91|a guy sits while a video plays next to him
video92|a few horses are riding down a track
video93|a line of people wait before a man walks into a boxing ring
video94|a girl discusses what she s about to do and asks for subscriptions
video95|a person dressed in black shirt and brown jacket talking with a friend in hat walking down the street
video96|a cellphone s apps are being scrolled page by page
video97|a family gathered together in a room
video98|two videos regarding makeup is telecasted side by side
video99|a few persons sking on snow down the hill
video100|a basset hound sits outside a door
video101|a character from star trek the next generation is featured in film clips
video102|some one showing the video of different colours of helmet
video103|in a kitchen a woman in purple and black talks about her favorite dish
video104|a clip from a huge concert
video105|on a television show a man describes what canine injuries he sees in his animal hospital and how to prevent these injuries
video106| kids on a back deck at a party singing about something
video107|a crowded street full of motorcycles a man tells about how you can get a guide
video108|someone cooks meat patties in an oil filled pan on top of a stove then covers it with the lid
video109|a cartoon reading a book
video110|a clip of a horror movie
video111|a speaker in black dress talking about the decisive action to be taken for the country
video112|a man in blue over enjoying coat is skying downside
video113|the woman in black dress interview with two man with blazers talk about the congress accomplishments
video114|a girl is demonstrating a dance move with a group of people on a beach
video115|a car with a man working on his engine
video116|a boy and a dad are at an amusement park
video117|women are being interviewed a girl in front of a red window is talking about what she likes most
video118|the man is saying about the dish might be he made it was a piece of meat which was already cooked
video119|a music video showing a black artist singing with many other male and female artist around
video120|a man describes the features of a white sports car
video121|there is a tiger killing an animal in the forest
video122|a how to video
video123|a chef in a white apron pours liquid from a silver pan as he talks about his career in the food business
video124|a comical clip of a man at a drive through
video125|a cartoon involving animals
video126|a group of models walk down the runway
video127|a large number of military people are falling to the ground with their parachutes deployed
video128|a clip from the game mortal kombat
video129|a man is in a boat
video130|a game walkthrough being played
video131|the camera pans on a view from an overlook
video132|there is a woman in hot dressing is walking on the floor
video133|a small child looking for some surprise which is hiding
video134|a brown haired woman wearing a white shirt talks to the camera and then lifts up a large black bag
video135|a girl is swimming and an old lady starts talking to her
video136|today were are talking about running downhill as we watch a bunch of people running
video137|a lady is describing a tool that creates polymer pieces
video138|a guy talks about a new video game
video139|a group of people are looking at and taking pictures of a horse
video140|military men are shown talking to one another outdoors
video141|the couples showing their performance on the stage
video142|a game about minecraft
video143|a female giving a hair styling tutorial
video144|a group of kids are stretching
video145|a girl is touching baby chair
video146|a lego character is bending over while another lego character is moving
video147|a man cooking chicken
video148|a animation of a person putting another person in a chamber of fire
video149|a car is modified for a movie
video150|video showing how a leopoard runs with incredible speed
video151|a man with a dress and a woman are talking
video152|a battle scene in a movie
video153|some one in a kitchen adding meat pieces to the boiling water
video154|a cartoon character is standing at the edge of a cliff
video155|men in black suits find two guys they are speaking in another language and they all start fighting
video156|a funny indian clip showing two guys talking on the phone
video157|a compilation of fight videos dance video and basketball footage with a rap music in the background
video158|a football player is being interviewed on the field
video159|a man is holding a monkey on a talk show
video160|a bunny ate the cookie
video161|a boat full of people fighting
video162|a girl is performing a song on the voice
video163|a band is playing while people in the crowd cheer
video164|a man hugging his coach and friends after a wrestling match
video165|a group of alpaca are walking together
video166|an african american woman drives recklessly about the city
video167|a candlelit love scene between two women
video168|a construction truck plows a big pile of snow
video169|this is the butterfly effect inthe industrial version with this machine we do not reach the micron accuracy but a tenth of a micron
video170|a baseball player in the outfield making an awesome diving catch
video171|the inside of a modern stylish movie theater is shown to the viewers
video172|a boy lays in bed while a doctor tends to him
video173|there is a woman is making a fish dish
video174|a cartoon hand has characters on its fingers
video175|an entertainment commentator in a black dress discusses robert downey jr
video176|a guy is giving a speech to an audience
video177|a guy flexing his arms
video178|a girl is singing with colorful background
video179|a girl in a soccer uniform confronts a guy on a soccer field
video180|a cartoon show is enacted
video181|a boat sailing in the ocean with a rocky landmass in view
video182|a lion is shown with another lion walking through the field
video183|there is a man in yellow is running on the road
video184|a cat and a dog are playing
video185|a group is singing on a stage
video186|four animal handlers pet a young baby tiger
video187|there is a man talking about a place
video188|there are many people gathered in the stadium to watch basket ball match
video189|a car driving on the road
video190|a advertisement shows to subscribe to other channels
video191|a man is doing the hair of multiple cheerleaders
video192|a man in black shirt is busy preparing something
video193|a cartoon about word girl
video194|a band is on stage playing country music
video195|a computer game which involves certain characters
